,证券代码,证券简称,发债主体评级等级,发债主体评级类型,发债主体评级机构,发债主体评级预期,发债主体评级时间
0,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
1,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
2,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
3,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
4,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
5,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
6,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
7,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
8,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
9,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
10,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
11,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
12,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
13,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
14,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,正面,20110408
15,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
16,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
17,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
18,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
19,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
20,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
21,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
22,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
23,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
24,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
25,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,正面,20120410
26,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
27,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
28,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
29,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
30,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
31,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20130416
32,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20130510
33,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
34,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
35,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
36,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
37,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140324
38,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140509
39,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
40,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
41,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
42,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140729
43,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20140901
44,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20141118
45,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20150122
46,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20150420
47,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
48,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
49,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
50,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
51,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20150730
52,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
53,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,稳定,20151216
54,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
55,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
56,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
57,011001001.IB,10中石油SCP001,Aa3,长期信用评级,穆迪公司,负面,20160330
58,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
59,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
60,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
61,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
62,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
63,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
64,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
65,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
66,011001001.IB,10中石油SCP001,A1,长期信用评级,穆迪公司,稳定,20170918
67,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
68,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
69,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
70,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
71,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
72,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180727
73,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180815
74,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180912
75,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20181228
76,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190109
77,011001001.IB,10中石油SCP001,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20190111
78,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190218
79,011001001.IB,10中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,稳定,20190613
80,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20190618
81,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20190621
82,011001001.IB,10中石油SCP001,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190628
83,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
84,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
85,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
86,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
87,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
88,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
89,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
90,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
91,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
92,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
93,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
94,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
95,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
96,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
97,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,正面,20110408
98,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
99,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
100,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
101,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
102,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
103,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
104,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
105,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
106,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
107,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
108,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,正面,20120410
109,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
110,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
111,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
112,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
113,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
114,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20130416
115,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20130510
116,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
117,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
118,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
119,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
120,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140324
121,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140509
122,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
123,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
124,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
125,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140729
126,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140901
127,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20141118
128,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20150122
129,011001002.IB,10中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20150420
130,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
131,011001002.IB,10中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
132,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
133,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
