,证券代码,证券简称,信用评级,评级类型,评估机构,发债主体评级时间,发债主体评级预期,投资等级,等级含义
0,011103001.IB,11中石化SCP001,A+,长期信用评级,标准普尔评级服务公司,20160125,稳定,投资级,清偿能力强，有时会受经营环境和其它内外部条件不良变化的影响，但是风险较小。
1,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
2,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
3,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
4,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
5,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
6,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
7,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
8,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
9,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
10,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
11,011001001.IB,10中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
12,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
13,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
14,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
15,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
16,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
17,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
18,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
19,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
20,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
21,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
22,011001002.IB,10中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
23,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20111114,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
24,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120202,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
25,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120301,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
26,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20120328,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
27,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20130511,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
28,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20140623,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
29,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20150626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
30,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20160622,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
31,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20170626,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
32,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20180625,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
33,011101001.IB,11中石油SCP001,AAA,长期信用评级,大公国际资信评估有限公司,20190621,稳定,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
