,证券代码,证券简称,信用评级,评级类型,评估机构,债项评级时间,投资等级,等级含义
0,011219001.IB,12国电SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20120625,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
1,011219002.IB,12国电SCP002,A-1,短期信用评级,大公国际资信评估有限公司,20120711,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
2,011234001.IB,12东航股SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20120713,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
3,011234001.IB,12东航股SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20130318,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
4,011319003.IB,13国电SCP003,A-1,短期信用评级,大公国际资信评估有限公司,20130329,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
5,011319004.IB,13国电SCP004,A-1,短期信用评级,大公国际资信评估有限公司,20130520,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
6,011319004.IB,13国电SCP004,A-1,短期信用评级,大公国际资信评估有限公司,20131121,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
7,011434001.IB,14东航股SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20140430,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
8,011434001.IB,14东航股SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20141021,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
9,011599957.IB,15精功SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20150819,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
10,011599957.IB,15精功SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20160126,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
11,011753022.IB,17中利科技SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20170301,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
12,011753022.IB,17中利科技SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20171020,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
13,011760021.IB,17华泰SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20170217,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
14,011760049.IB,17长江出版SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20170823,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
15,011762087.IB,17成都高新SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20170807,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
16,011762087.IB,17成都高新SCP001,A-1,短期信用评级,大公国际资信评估有限公司,20180413,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
17,011764075.IB,17兵国资CP001,A-1,短期信用评级,大公国际资信评估有限公司,20170622,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
18,011764075.IB,17兵国资CP001,A-1,短期信用评级,大公国际资信评估有限公司,20171030,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
19,031800397.IB,18芯鑫租赁PPN001,A-1,短期信用评级,大公国际资信评估有限公司,20180706,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
20,041152001.IB,11国电集CP004,A-1,短期信用评级,大公国际资信评估有限公司,20110801,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
21,041152001.IB,11国电集CP004,A-1,短期信用评级,大公国际资信评估有限公司,20120627,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
22,041152005.IB,11赣粤CP002,A-1,短期信用评级,大公国际资信评估有限公司,20110826,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
23,041152005.IB,11赣粤CP002,A-1,短期信用评级,大公国际资信评估有限公司,20120307,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
24,041152012.IB,11大唐集CP002,A-1,短期信用评级,大公国际资信评估有限公司,20111108,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
